gene,community
NEK8,BrC4
NELFA,BrC4
NELFB,BrC4
NETO2,BrC4
NFKBIL1,BrC4
NFS1,BrC4
NFYC,BrC4
NGDN,BrC4
NIPSNAP1,BrC4
NIT1,BrC4
NMNAT3,BrC4
NOC4L,BrC4
NOL12,BrC4
NOL3,BrC4
NOXA1,BrC4
NPHP1,BrC4
NPRL2,BrC4
NPTN,BrC4
NRN1L,BrC4
NSMCE4A,BrC4
NTPCR,BrC4
NUDT17,BrC4
OARD1,BrC4
OGFOD2,BrC4
OGG1,BrC4
OMA1,BrC4
OPRL1,BrC4
ORAI3,BrC4
OSBP2,BrC4
OSER1,BrC4
OSGEP,BrC4
P2RX4,BrC4
P3H3,BrC4
P3H4,BrC4
P4HTM,BrC4
PAAF1,BrC4
PACRG,BrC4
PAF1,BrC4
PAFAH2,BrC4
PAGR1,BrC4
PAK1,BrC4
PAPSS1,BrC4
PAQR6,BrC4
PARD6G,BrC4
PARP10,BrC4
PARP16,BrC4
PARP3,BrC4
PBXIP1,BrC4
PCGF1,BrC4
PCGF2,BrC4
PCIF1,BrC4
PCSK4,BrC4
PCYOX1L,BrC4
PEX12,BrC4
PEX14,BrC4
PEX6,BrC4
PFN2,BrC4
PGAP2,BrC4
PGGHG,BrC4
PHF1,BrC4
PHKG2,BrC4
PICK1,BrC4
PIFO,BrC4
PIGH,BrC4
PIGO,BrC4
PIGU,BrC4
PIGV,BrC4
PILRB,BrC4
PLCD1,BrC4
PLCD4,BrC4
PLEKHG3,BrC4
PLEKHH3,BrC4
PMPCB,BrC4
PNPO,BrC4
POC5,BrC4
POLA2,BrC4
POLE2,BrC4
POLL,BrC4
POLR2H,BrC4
POMGNT1,BrC4
PPFIA3,BrC4
PPFIBP2,BrC4
PPIE,BrC4
PPIL3,BrC4
PPIL6,BrC4
PPOX,BrC4
PPP1R37,BrC4
PPP1R3F,BrC4
PPP2R3B,BrC4
PPP5D1,BrC4
PQBP1,BrC4
PRCC,BrC4
PRELID3A,BrC4
PRIM1,BrC4
PRKAR1B,BrC4
PRKCSH,BrC4
PRMT6,BrC4
PRMT7,BrC4
PRNP,BrC4
PRPF19,BrC4
PRPF31,BrC4
PRR22,BrC4
PRRT2,BrC4
PRUNE1,BrC4
PSRC1,BrC4
PTDSS2,BrC4
PTOV1,BrC4
PTPA,BrC4
PXYLP1,BrC4
PYCR1,BrC4
PYCR2,BrC4
QPRT,BrC4
QTRT1,BrC4
RAB11B,BrC4
RAB39B,BrC4
RAB40B,BrC4
RAB40C,BrC4
RAB8A,BrC4
RAB9A,BrC4
RABGGTA,BrC4
RAD51C,BrC4
RADIL,BrC4
RALY,BrC4
RBCK1,BrC4
RBM4,BrC4
RCE1,BrC4
RFC4,BrC4
RFX1,BrC4
RGL2,BrC4
RGS9,BrC4
RIBC1,BrC4
RING1,BrC4
RNASEH2A,BrC4
